Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,POS
DE’ANDRE HUNTER,71,38,26.6,4.4,8.5,.509,3.4,6.3,.541,0.9,2.3,.419,2.8,3.6,.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,9.61,Guard
TY JEROME,105,76,26.4,3.5,8.0,.435,1.9,3.9,.479,1.6,4.0,.392,1.1,1.4,.788,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,10.05,Guard
KELDON JOHNSON,37,36,30.7,4.6,10.1,.461,3.4,6.9,.498,1.2,3.2,.381,2.9,4.2,.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,10.29,Guard
MFIONDU KABENGELE,71,0,18.3,3.5,7.0,.498,3.0,5.8,.526,0.5,1.3,.374,2.8,3.9,.724,2.0,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,9.38,Forward
LOUIS KING,31,28,30.4,4.8,11.0,.435,2.9,6.0,.476,1.9,4.9,.386,2.0,2.5,.785,1.3,4.2,5.5,1.3,0.9,0.2,2.1,2.5,13.5,6.13,Forward
V.J. KING,101,48,17.8,2.1,5.2,.400,1.6,3.7,.440,0.4,1.5,.297,1.5,2.0,.772,0.6,2.2,2.8,0.7,0.3,0.1,1.0,1.3,6.1,10.42,Forward
SAGABA KONATE,81,45,18.7,3.1,6.2,.509,3.0,5.9,.515,0.1,0.3,.391,1.6,2.2,.756,1.9,3.6,5.5,0.6,0.4,2.4,1.2,2.6,8.0,9.87,Forward
MARTIN KRAMPELJ,89,55,17.4,3.5,5.8,.602,3.1,4.6,.672,0.4,1.2,.330,1.6,2.6,.609,1.6,3.9,5.4,0.7,0.6,0.6,1.0,2.1,9.0,8.02,Forward
ROMEO LANGFORD,32,32,34.1,5.5,12.3,.448,4.5,8.4,.530,1.1,3.9,.272,4.4,6.1,.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,10.10,Guard
CAMERON LARD,53,16,20.1,4.2,6.7,.623,4.2,6.7,.623,0.0,0.0,,1.1,1.8,.608,2.3,3.4,5.7,0.5,0.3,1.7,1.3,3.0,9.4,9.39,Forward
DEDRIC LAWSON,36,36,32.6,6.9,14.1,.490,5.9,11.6,.511,1.0,2.5,.393,4.6,5.7,.815,3.1,7.2,10.3,1.7,1.3,1.1,2.3,2.6,19.4,,Guard
NASSIR LITTLE,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,11.35,Forward
CHARLES MATTHEWS,75,75,30.7,4.8,10.3,.466,3.9,7.5,.522,0.8,2.7,.309,2.2,3.7,.596,1.4,3.9,5.3,2.0,0.9,0.6,1.9,2.0,12.6,,Guard
JALEN MCDANIELS,67,55,27.9,5.0,10.0,.504,4.6,8.6,.538,0.4,1.4,.298,2.7,3.6,.758,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,3.19,Forward
JA MORANT,65,65,35.3,6.1,12.6,.485,4.8,8.9,.545,1.3,3.8,.343,5.1,6.3,.810,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,-3.32,Guard
KOUAT NOI,64,28,26.0,4.2,9.3,.456,2.2,3.9,.552,2.1,5.4,.387,1.4,2.1,.697,1.4,3.0,4.4,0.9,0.9,0.2,1.2,2.0,12.0,9.64,Forward
JAYLEN NOWELL,70,67,33.5,6.0,12.6,.476,4.7,9.4,.504,1.3,3.2,.396,2.8,3.5,.789,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,6.54,Guard
CHUMA OKEKE,72,38,25.5,3.6,7.5,.481,2.4,4.3,.550,1.2,3.2,.389,1.4,2.0,.703,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,9.11,Forward
KZ OKPALA,52,50,30.8,4.7,10.7,.439,4.0,8.5,.468,0.8,2.3,.331,3.7,5.4,.674,1.2,3.7,4.8,1.9,1.0,0.5,2.7,2.8,13.8,6.13,Forward
MIYE ONI,87,82,31.7,5.2,12.1,.428,3.2,6.5,.490,2.0,5.6,.356,2.7,3.5,.777,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,-2.08,Guard
LAMAR PETERS,98,71,27.6,3.7,9.5,.385,1.7,3.8,.444,2.0,5.7,.346,1.5,2.2,.682,0.4,1.7,2.2,4.4,1.4,0.2,2.6,2.5,10.8,7.27,Guard
SHAMORIE PONDS,96,96,35.2,6.6,15.1,.436,4.6,9.1,.507,1.9,5.9,.328,4.4,5.2,.840,1.1,3.4,4.5,4.3,2.3,0.2,2.2,1.8,19.5,8.19,Guard
JORDAN POOLE,75,37,22.7,3.1,7.3,.434,1.6,3.1,.519,1.5,4.1,.370,1.6,1.9,.831,0.1,2.0,2.2,1.4,0.8,0.2,1.1,1.5,9.4,9.98,Guard
CAM REDDISH,36,35,29.7,4.3,12.0,.356,1.8,4.6,.394,2.5,7.4,.333,2.4,3.2,.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.97,Forward
