Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,POS_Forward,POS_Guard
DEDRIC LAWSON,32.6,11.6,0.511,2.5,0.39299999999999996,5.7,0.815,10.3,1.7,1.3,1.1,2.3,2.6,19.4,0,1
JACOB LEDOUX,15.1,3.4,0.519,1.7,0.275,1.8,0.708,2.2,1.2,0.8,0.0,1.5,1.4,6.2,0,1
NASSIR LITTLE,18.2,6.2,0.527,1.4,0.26899999999999996,2.8,0.77,4.6,0.7,0.5,0.5,1.3,1.6,9.8,1,0
TREVOR MANUEL,14.7,2.6,0.5,1.4,0.33299999999999996,2.1,0.6890000000000001,2.6,0.7,0.5,1.0,1.0,2.5,5.5,1,0
CHARLES MATTHEWS,30.7,7.5,0.522,2.7,0.309,3.7,0.596,5.3,2.0,0.9,0.6,1.9,2.0,12.6,0,1
JALEN MCDANIELS,27.9,8.6,0.5379999999999999,1.4,0.298,3.6,0.758,7.9,1.5,1.0,0.5,1.8,2.6,13.2,1,0
JA MORANT,35.3,8.9,0.545,3.8,0.34299999999999997,6.3,0.81,6.1,8.2,1.4,0.6,3.8,1.7,18.7,0,1
KOUAT NOI,26.0,3.9,0.552,5.4,0.387,2.1,0.6970000000000001,4.4,0.9,0.9,0.2,1.2,2.0,12.0,1,0
JAYLEN NOWELL,33.5,9.4,0.504,3.2,0.396,3.5,0.789,4.6,2.9,1.2,0.3,2.7,2.5,16.1,0,1
CHUMA OKEKE,25.5,4.3,0.55,3.2,0.389,2.0,0.703,6.3,1.5,1.3,1.0,1.3,1.9,9.9,1,0
KZ OKPALA,30.8,8.5,0.46799999999999997,2.3,0.331,5.4,0.674,4.8,1.9,1.0,0.5,2.7,2.8,13.8,1,0
MIYE ONI,31.7,6.5,0.49,5.6,0.35600000000000004,3.5,0.777,6.2,3.3,0.9,1.0,2.6,2.8,15.0,0,1
LAMAR PETERS,27.6,3.8,0.444,5.7,0.34600000000000003,2.2,0.682,2.2,4.4,1.4,0.2,2.6,2.5,10.8,0,1
SHAMORIE PONDS,35.2,9.1,0.507,5.9,0.32799999999999996,5.2,0.84,4.5,4.3,2.3,0.2,2.2,1.8,19.5,0,1
JORDAN POOLE,22.7,3.1,0.519,4.1,0.37,1.9,0.831,2.2,1.4,0.8,0.2,1.1,1.5,9.4,0,1
JONTAY PORTER,24.5,3.9,0.5,3.3,0.364,3.2,0.75,6.8,2.2,0.8,1.7,1.9,2.9,9.9,1,0
BRANDON RANDOLPH,29.9,5.9,0.46,2.8,0.324,3.1,0.7440000000000001,4.5,4.3,1.0,0.1,2.9,2.0,10.5,0,1
CAM REDDISH,29.7,4.6,0.39399999999999996,7.4,0.33299999999999996,3.2,0.772,3.7,1.9,1.6,0.6,2.7,2.4,13.5,1,0
ISAIAH REESE,28.1,5.2,0.532,4.9,0.326,1.9,0.7929999999999999,5.0,3.9,1.7,0.2,2.3,2.2,11.9,0,1
NAZ REID,27.2,8.3,0.509,2.5,0.33299999999999996,3.8,0.727,7.2,0.9,0.7,0.7,2.5,3.2,13.6,1,0
ISAIAH ROBY,23.9,4.6,0.523,1.5,0.336,2.6,0.7020000000000001,5.5,1.5,0.8,1.6,1.6,2.8,8.1,1,0
SAMIR SEHIC,23.9,5.5,0.586,2.6,0.317,3.5,0.7120000000000001,6.5,0.8,0.5,0.5,1.3,2.3,11.4,1,0
SIMI SHITTU,26.7,8.2,0.496,0.6,0.055999999999999994,4.7,0.5760000000000001,6.7,1.8,0.7,0.5,2.9,2.3,10.9,1,0
JUSTIN SIMON,10.1,2.2,0.452,0.0,0.0,1.3,0.721,1.8,0.3,0.1,0.2,0.8,1.5,2.9,1,0
D’MARCUS SIMONDS,32.9,10.3,0.52,4.0,0.294,5.3,0.69,5.0,3.4,1.4,0.7,3.4,2.4,17.9,0,1
RAYJON TUCKER,36.6,6.9,0.5579999999999999,5.8,0.41100000000000003,7.0,0.777,6.7,1.8,1.1,0.4,2.6,2.3,20.3,0,1
NICK WARD,19.8,8.0,0.603,0.0,1.0,5.3,0.629,6.6,0.5,0.3,1.4,1.8,2.5,13.1,1,0
PJ WASHINGTON,28.3,7.3,0.547,1.4,0.384,5.4,0.632,6.6,1.7,0.8,1.0,1.9,2.6,12.9,1,0
TREMONT WATERS,32.7,6.5,0.496,5.7,0.34,4.2,0.807,3.1,5.9,2.5,0.1,3.2,2.1,15.6,0,1
COBY WHITE,28.5,6.1,0.5,6.6,0.353,3.7,0.8,3.5,4.1,1.1,0.3,2.7,1.9,16.1,0,1
LINDELL WIGGINTON,29.8,6.4,0.429,5.2,0.397,5.3,0.687,3.9,2.5,0.8,0.4,2.5,2.3,15.3,0,1
KRIS WILKES,30.8,7.1,0.509,5.5,0.34299999999999997,3.9,0.664,4.8,1.7,0.7,0.5,1.6,2.3,15.5,0,1
GRANT WILLIAMS,28.9,9.2,0.54,1.0,0.29100000000000004,6.4,0.758,6.5,2.1,0.9,1.5,2.1,3.2,15.7,1,0
ZION WILLIAMSON,30.0,11.0,0.747,2.2,0.33799999999999997,6.2,0.64,8.9,2.1,2.1,1.8,2.4,2.1,22.6,1,0
KENNY WOOTEN,21.8,4.1,0.639,0.0,0.0,1.8,0.633,4.7,0.5,0.5,2.4,1.1,2.6,6.4,1,0
UDOKA AZUBUIKE,21.0,6.9,0.7440000000000001,0.0,0.3298227848101266,3.0,0.39399999999999996,6.4,0.6,0.5,1.6,1.7,2.9,11.5,0,0
AYO DOSUNMU,31.3,7.3,0.485,4.4,0.35200000000000004,3.0,0.695,4.0,3.3,1.3,0.3,2.3,2.0,13.8,0,1
ASHTON HAGANS,28.5,4.4,0.528,1.4,0.275,2.5,0.7609999999999999,2.6,4.3,1.6,0.1,2.5,2.0,7.7,0,1
MARKUS HOWARD,29.2,6.7,0.475,7.3,0.433,4.3,0.902,3.2,3.0,1.0,0.1,2.8,2.4,19.7,0,1
TRE JONES,34.2,6.0,0.486,2.9,0.262,1.7,0.758,3.8,5.3,1.9,0.2,1.5,1.6,9.4,0,1
JALEN SMITH,26.7,6.8,0.563,2.2,0.268,3.5,0.6579999999999999,6.8,0.9,0.4,1.2,1.2,2.0,11.7,1,0
CASSIUS WINSTON,27.7,5.1,0.496,4.0,0.43,3.3,0.8420000000000001,2.7,6.6,0.8,0.1,2.6,2.0,12.9,0,1
