Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Melvin Ely,32.5,11.0,0.578,0.0,0.333,4.6,0.648,7.5,1.1,0.8,2.9,2.4,2.3,15.7,0,0,0
Richard Jefferson,26.3,6.2,0.528,1.9,0.368,3.5,0.718,5.0,2.8,0.6,0.8,2.7,2.6,11.2,0,1,0
Juan Dixon,28.4,7.8,0.513,4.4,0.389,3.6,0.85,4.2,2.6,2.4,0.2,2.5,2.0,16.1,0,0,1
Trevor Booker,28.4,8.6,0.574,0.5,0.324,3.9,0.624,7.9,1.7,1.1,1.9,1.9,2.3,12.9,0,1,0
Lonzo Ball,35.1,4.1,0.732,5.4,0.412,2.7,0.6729999999999999,6.0,7.6,1.8,0.8,2.5,1.8,14.6,0,0,1
Dillon Brooks,28.9,8.0,0.518,3.4,0.362,3.5,0.794,4.5,2.6,0.9,0.5,2.1,2.9,14.8,0,1,0
Kevin Love,29.6,8.3,0.611,2.1,0.354,6.6,0.767,10.6,1.9,0.7,1.4,2.0,1.9,17.5,1,1,0
Chris McCullough,28.1,7.0,0.473,0.1,1.0,4.4,0.563,6.9,1.1,1.7,2.1,2.2,2.6,9.3,0,1,0
Jamaal Franklin,25.9,6.2,0.504,3.8,0.302,5.1,0.78,7.0,1.9,1.0,0.6,2.6,2.1,13.7,0,0,1
Renaldo Balkman,21.1,5.0,0.581,0.5,0.29100000000000004,2.2,0.5329999999999999,5.3,1.7,1.2,1.1,1.7,2.1,7.4,0,1,0
