Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Steve Blake,138.0,103.0,31.3,2.7,6.8,0.401,1.4,3.3,0.423,1.3,3.5,0.381,1.5,2.0,0.7709999999999999,0.7,2.8,3.4,7.0,1.7,0.3,3.3,2.1,8.3,9.34,No,2003,38,Guard
Joel Embiid,28.0,20.0,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0.0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,Yes,2014,3,Center
Darnell Jackson,125.0,39.0,16.6,2.5,4.3,0.58,2.5,4.2,0.583,0.0,0.0,0.33299999999999996,1.8,2.6,0.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,1.8,6.8,8.38,No,2008,52,Forward
John Salmons,124.0,61.0,30.8,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,2.0,4.0,5.5,3.5,1.5,0.7,2.6,2.5,10.4,6.25,No,2002,26,Guard
Kris Joseph,140.0,77.0,26.6,3.5,7.8,0.449,2.7,5.4,0.501,0.8,2.4,0.331,2.7,3.9,0.7020000000000001,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,8.37,No,2012,51,Forward
Justin Harper,137.0,96.0,22.9,3.9,8.1,0.483,2.6,4.7,0.557,1.3,3.4,0.382,1.5,2.1,0.711,1.4,3.3,4.8,0.7,0.6,0.8,1.3,2.2,10.6,2.46,No,2011,32,Forward
Sonny Weems,69.0,66.0,31.2,5.2,11.0,0.473,3.8,7.3,0.527,1.3,3.7,0.366,1.6,2.1,0.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,2.0,13.3,7.74,No,2008,39,Guard
Andrew Bogut,68.0,68.0,32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,No,2005,1,Center
Jamaal Tinsley,68.0,68.0,32.5,4.2,10.8,0.38799999999999996,3.4,8.4,0.405,0.8,2.3,0.327,3.4,4.9,0.685,0.6,3.2,4.5,6.3,2.6,0.8,4.0,2.9,12.5,6.0,No,2001,27,Guard
Dejounte Murray,34.0,34.0,33.5,5.9,14.3,0.41600000000000004,4.9,10.8,0.457,1.0,3.5,0.28800000000000003,3.2,4.9,0.6629999999999999,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,8.12,No,2016,29,Guard
Kevin Huerter,65.0,65.0,31.9,4.2,9.0,0.466,2.1,3.6,0.5720000000000001,2.1,5.4,0.39399999999999996,1.5,2.0,0.748,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,8.11,No,2018,19,Guard
Joe Johnson,53.0,41.0,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,2.2,4.2,6.1,2.4,1.7,0.5,2.5,1.7,15.0,6.96,Yes,2001,10,Guard
Brandon Hunter,119.0,86.0,32.6,5.9,11.6,0.51,5.6,10.7,0.525,0.3,1.0,0.33899999999999997,4.7,7.8,0.608,2.7,7.7,9.3,2.1,0.8,0.7,3.4,2.6,16.9,1.82,No,2003,56,Forward
Caron Butler,63.0,62.0,34.5,6.4,13.8,0.465,5.7,11.9,0.48200000000000004,0.7,1.9,0.364,4.5,5.9,0.768,3.3,4.3,7.6,3.0,2.1,0.3,2.7,2.4,18.0,6.43,Yes,2002,10,Forward
Khris Middleton,87.0,72.0,26.0,3.9,9.1,0.431,2.9,5.8,0.494,1.1,3.3,0.321,2.4,3.1,0.768,1.5,3.0,4.6,2.0,1.0,0.2,2.0,2.1,11.3,7.42,Yes,2012,39,Forward
Ronny Turiaf,127.0,73.0,25.5,4.2,8.2,0.518,4.2,8.0,0.524,0.0,0.1,0.222,5.1,7.1,0.715,2.1,4.7,6.8,1.0,0.5,1.4,2.1,2.9,13.6,3.06,No,2005,37,Forward
Antonio Burks,91.0,80.0,30.6,4.3,9.2,0.469,3.6,7.4,0.484,0.7,1.7,0.401,2.0,3.0,0.6729999999999999,0.5,2.1,2.6,5.4,1.9,0.2,2.3,2.3,11.3,5.31,No,2004,36,Guard
Ryan Anderson,66.0,66.0,33.0,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5.0,0.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7,8.56,No,2008,21,Forward
Josh Harrellson,94.0,40.0,15.8,2.0,3.6,0.5489999999999999,1.9,3.3,0.5710000000000001,0.1,0.3,0.31,0.6,1.0,0.649,1.9,2.8,4.7,0.4,0.5,0.9,0.6,1.4,4.7,6.85,No,2011,45,Center
